Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (excluding high income),ECA,..,99.0003702745063,99.7678045733197,99.8659864314842,99.9182755845423,99.942132117979,99.9658141442747,99.9774582582236,99.9616957885645,99.9915985600711,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,100,98.2547275902283,98.3324439163919,99.6575037330456,99.9282177693472,99.9415619854207,99.9069773569945,99.9520989572979,99.9764037653791,99.995445995711,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,European Union,EUU,100,99.4761898580312,99.8929116032593,99.9182637194093,99.9709724278479,99.9717275681447,99.9881556120147,99.9956022901904,99.9970834145942,100,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fragile and conflict affected situations,FCS,..,40.4330868376339,50.0432237711859,54.1757718946072,54.5377495544254,54.5154686576955,55.4514164250793,56.3010490504136,57.8332255929662,57.9458706435872,58.950109305747,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Heavily indebted poor countries (HIPC),HPC,..,17.8244786052089,35.4532334232963,40.5879143859095,41.4761400082642,43.9780559155511,45.0224569328403,46.3405988685198,48.0199412207435,48.7171277289384,50.5311127498598,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,High income,HIC,99.8410486296657,99.441643111124,99.4412560096797,99.8749399241358,99.9597217667473,99.9626510693694,99.9496100076165,99.9683063767907,99.9798913047978,99.9798075119101,99.9884050236975,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,IBRD only,IBD,..,84.5514200391953,95.1769594240917,95.8365322168499,96.6042148520085,97.7499653898216,97.8773248174052,98.0571962882859,99.1094752326088,98.968725687628,99.088645099492,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA & IBRD total,IBT,..,73.9654372508659,84.8024544878936,86.1983723126675,87.1785097355699,88.2034422006694,88.5722806366607,88.9121524281995,90.0204511080977,89.9618614552927,90.3151089144033,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA blend,IDB,..,55.6481107966122,68.7868324940631,72.5460349141719,71.6466137332559,73.151878223369,73.9089088089712,74.4924621989682,76.4698873250238,77.0721324965067,77.9201343756954,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA only,IDX,..,25.9115523262833,46.705998397654,50.6602264813623,54.1427240952534,54.9412739063695,56.734623782158,58.2365188467346,59.7411600659608,60.2901358794059,61.9201921189084,..
